timestamp,expiry,spot,risk_free_rate,strike,bid,ask,T,type,volume,open_interest
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,730.0,0.16,0.17,0.016177676329718418,P,5,206
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,731.0,0.17,0.18,0.016177676329718418,P,7,39
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,732.0,0.18,0.19,0.016177676329718418,P,3,65
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,733.0,0.19,0.2,0.016177676329718418,P,210,58
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,734.0,0.21,0.22,0.016177676329718418,P,46,156
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,735.0,0.22,0.24,0.016177676329718418,P,83,121
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,736.0,0.24,0.25,0.016177676329718418,P,154,157
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,737.0,0.26,0.28,0.016177676329718418,P,68,21
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,738.0,0.29,0.3,0.016177676329718418,P,34,57
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,739.0,0.31,0.32,0.016177676329718418,P,138,80
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,740.0,0.34,0.35,0.016177676329718418,P,175,373
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,741.0,0.36,0.38,0.016177676329718418,P,250,62
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,742.0,0.39,0.42,0.016177676329718418,P,935,133
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,743.0,0.43,0.46,0.016177676329718418,P,143,102
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,744.0,0.47,0.51,0.016177676329718418,P,101,105
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,745.0,0.51,0.55,0.016177676329718418,P,212,543
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,746.0,0.57,0.61,0.016177676329718418,P,556,244
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,747.0,0.62,0.67,0.016177676329718418,P,362,70
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,748.0,0.69,0.73,0.016177676329718418,P,132,132
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,749.0,0.76,0.8,0.016177676329718418,P,228,188
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,750.0,0.84,0.89,0.016177676329718418,P,4632,4137
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,751.0,0.92,0.98,0.016177676329718418,P,165,144
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,752.0,1.02,1.08,0.016177676329718418,P,139,375
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,753.0,1.13,1.19,0.016177676329718418,P,213,113
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,754.0,1.25,1.31,0.016177676329718418,P,182,483
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,755.0,1.42,1.44,0.016177676329718418,P,1278,643
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,756.0,1.53,1.6,0.016177676329718418,P,165,282
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,757.0,1.69,1.76,0.016177676329718418,P,54,446
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,758.0,1.87,1.94,0.016177676329718418,P,123,472
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,759.0,2.07,2.15,0.016177676329718418,P,73,501
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,760.0,2.29,2.38,0.016177676329718418,P,453,843
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,761.0,2.53,2.62,0.016177676329718418,P,63,442
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,762.0,2.79,2.89,0.016177676329718418,P,384,350
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,763.0,3.08,3.18,0.016177676329718418,P,1493,476
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,764.0,3.4,3.5,0.016177676329718418,P,517,506
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,765.0,3.74,3.85,0.016177676329718418,P,1191,618
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,766.0,4.12,4.23,0.016177676329718418,P,2382,1044
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,767.0,4.53,4.64,0.016177676329718418,P,212,187
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,768.0,4.97,5.1,0.016177676329718418,P,31,197
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,769.0,5.34,5.62,0.016177676329718418,P,296,83
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,770.0,5.93,6.19,0.016177676329718418,P,378,293
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,771.0,6.4,6.78,0.016177676329718418,P,36,10
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,772.0,6.98,7.38,0.016177676329718418,P,12,37
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,773.0,7.61,8.03,0.016177676329718418,P,11,75
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,774.0,8.27,8.68,0.016177676329718418,P,9,66
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,775.0,9.01,9.4,0.016177676329718418,P,520,61
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,776.0,9.7,10.17,0.016177676329718418,P,962,33
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,777.0,10.52,10.92,0.016177676329718418,P,2,25
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,778.0,11.27,11.78,0.016177676329718418,P,1,1
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,780.0,12.7,14.39,0.016177676329718418,P,50,6
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,781.0,13.42,15.35,0.016177676329718418,P,266,4
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,784.0,16.33,18.74,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,785.0,17.32,19.73,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,787.0,19.31,21.72,0.016177676329718418,P,4,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,789.0,21.31,23.72,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,790.0,22.57,24.72,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,791.0,23.57,25.72,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,792.0,24.57,26.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,793.0,25.57,27.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,795.0,27.57,29.71,0.016177676329718418,P,2,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,796.0,28.57,30.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,797.0,29.57,31.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,798.0,30.56,32.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,799.0,31.56,33.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,800.0,32.56,34.71,0.016177676329718418,P,1,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,801.0,33.56,35.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,802.0,34.56,36.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,803.0,35.56,37.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,807.0,39.56,41.71,0.016177676329718418,P,,0
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,809.0,41.56,43.71,0.016177676329718418,P,,0
